iter	Passed	Remaining
0	0	95
1	1	82
2	2	76
3	3	73
4	3	70
5	4	68
6	5	67
7	5	65
8	6	64
9	6	62
10	7	61
11	8	61
12	9	62
13	10	62
14	10	61
15	11	60
16	12	59
17	13	59
18	13	58
19	14	57
20	15	56
21	15	56
22	16	55
23	17	54
24	18	54
25	18	52
26	19	51
27	19	51
28	20	50
29	21	49
30	22	49
31	22	48
32	23	48
33	24	47
34	25	47
35	26	46
36	27	46
37	27	45
38	28	44
39	29	43
40	29	43
41	30	42
42	31	41
43	32	41
44	32	40
45	33	39
46	34	38
47	35	38
48	35	37
49	36	36
50	37	35
51	38	35
52	39	34
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	47	27
63	47	26
64	48	26
65	49	25
66	49	24
67	50	23
68	51	23
69	52	22
70	53	21
71	53	20
72	54	20
73	55	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	62	12
83	62	11
84	63	11
85	64	10
86	65	9
87	65	8
88	66	8
89	67	7
90	68	6
91	69	6
92	70	5
93	70	4
94	71	3
95	72	3
96	73	2
97	73	1
98	74	0
99	75	0
